Age,Sex,Pclass,Survived,Sex_encoded
37.450712295168486,male,3,0,1
27.92603548243223,female,1,1,0
39.715328071510385,male,1,0,1
52.84544784612038,female,3,1,0
26.48769937914996,male,3,1,1
26.48794564576229,male,1,0,1
53.688192232610874,male,1,1,1
41.51152093729363,male,1,0,1
22.95788421097572,female,2,1,0
38.13840065378947,male,3,1,1
23.048734607813067,female,2,0,0
23.014053696446148,male,3,1,1
33.629434073490515,male,3,0,1
1.300796330133032,male,3,0,1
4.126232512304508,female,3,1,0
21.56568706138541,male,3,0,1
14.807533194983643,female,3,1,0
34.71370998892911,female,3,1,0
16.37963886718184,female,2,1,0
8.815444479970626,female,1,1,0
51.98473153382331,female,1,1,0
26.613355492701967,female,2,0,0
31.01292307031886,female,2,1,0
8.628777206798148,female,2,0,0
21.83425913212226,female,2,0,0
31.66383884564799,male,3,0,1
12.735096338665457,male,1,1,1
35.63547027518508,male,3,1,1
20.990419651217927,male,1,1,1
25.624593753100847,male,1,1,1
20.974400816559047,female,2,1,0
57.78417276763407,female,3,1,0
29.79754162893099,female,2,1,0
14.134336065661495,female,3,1,0
42.338173681547836,female,1,1,0
11.687345250434667,female,2,1,0
33.132953925071334,female,2,1,0
0.6049481418033658,male,1,1,1
10.077209266523543,male,1,1,1
32.952918538036855,male,1,0,1
41.07699869993115,male,2,1,1
32.57052421784956,female,3,1,0
28.26527576417639,female,2,0,0
25.483444566160667,female,3,0,0
7.822170144488588,male,2,0,1
19.20233687407937,female,2,1,0
23.090418435603187,female,1,0,0
45.856833393283736,female,3,1,0
35.15427434352692,male,2,1,1
3.554397669558991,female,2,1,0
34.86125954092192,male,1,1,1
24.223765793755252,male,1,0,1
19.84616999541062,male,3,0,1
39.175144332613016,male,2,1,1
45.46499283743927,female,3,1,0
43.96920178674298,male,2,1,1
17.41173715166042,male,3,1,1
25.361814362231783,female,1,0,0
34.96895147105346,female,2,1,0
44.63317690683539,male,3,0,1
22.81238643232065,female,1,1,0
27.215115350042744,male,1,0,1
13.404975389909577,male,3,1,1
12.056900638789937,male,2,1,1
42.18788733591297,male,2,0,1
50.34360042856234,female,1,1,0
28.91984817629499,male,2,1,1
45.052993468380365,female,2,1,0
35.424540375714514,female,2,0,0
20.323203680923136,female,1,0,0
35.42093408262621,female,3,1,0
53.07054849698954,male,2,0,1
29.462609413350727,female,1,0,0
53.46965483721009,male,1,0,1
-9.296176561346165,female,3,1,0
42.32853756562836,female,2,0,0
31.30570602357257,male,2,0,1
25.514889743011988,male,3,1,1
31.376411648032533,male,3,1,1
0.18646628098660756,female,1,1,0
26.70492168243732,female,1,1,0
35.3566885726762,male,3,0,1
52.16841067112274,male,2,0,1
22.22594672589529,male,1,1,1
17.872595956602186,male,1,1,1
22.47364434623195,female,2,1,0
43.731031765531114,male,1,1,1
34.93126664489527,male,2,0,1
22.05359694349442,male,2,0,1
37.699011496700344,male,2,0,1
31.456163240220604,female,3,0,0
44.52967485799334,male,3,1,1
19.469203591839715,female,3,1,0
25.085067801033475,male,2,1,1
24.118377703017636,male,2,0,1
8.047275778018221,female,3,1,0
34.44180415596864,male,1,0,1
33.91582908269834,female,2,1,0
30.076701849636912,female,1,1,0
26.481192999372794,male,1,1,1
8.769438869243785,female,2,0,0
23.690320158519615,female,2,1,0
24.85928225209846,female,1,1,0
17.965840961675717,female,1,1,0
27.580714325009865,female,3,1,0
36.060762852218076,female,3,1,0
58.29278851815795,female,2,1,0
32.61866719247759,female,3,1,0
33.86325586084146,male,3,1,1
28.88331126350749,male,3,1,1
1.2184317705143783,female,3,1,0
29.602291868261748,male,1,1,1
30.903453149115396,female,2,1,0
66.94863168727929,female,3,1,0
27.11458552828316,male,1,1,1
34.523210135004184,female,1,1,0
29.47932345442135,female,1,1,0
12.46982943570702,female,3,1,0
47.14234221772531,female,3,0,0
41.27899549030161,male,2,1,1
41.865479205645705,female,3,0,0
16.359188178078917,female,3,0,0
51.041914664041485,female,1,1,0
8.972234058115788,male,2,1,1
38.80285640700406,female,3,1,0
62.856834387149675,male,3,1,1
15.141955123039676,male,1,0,1
21.50553405595842,female,1,0,0
31.494770476314617,female,3,1,0
22.447865188257012,male,2,0,1
6.740048534008011,female,2,1,0
31.02844462209041,male,1,0,1
14.065444294108428,male,1,0,1
37.10388645952772,female,3,0,0
16.208636486492953,female,1,1,0
53.24901607526309,male,3,1,1
18.251200614956446,male,2,1,1
25.169077256914868,male,2,0,1
42.202758260545046,male,3,0,1
11.537035253490671,female,1,0,0
33.41189901906194,female,2,1,0
49.60714131423642,female,1,1,0
5.887751481581589,female,2,0,0
32.769507877984566,female,3,1,0
33.89824191372635,male,3,1,1
41.72734307665966,female,3,1,0
11.445739336828773,female,2,1,0
10.193150803735854,female,1,0,0
37.829123484253465,female,1,0,0
34.45477009849779,female,1,1,0
33.75739275518815,male,2,0,1
35.19672314245464,male,2,1,1
19.79962917632264,male,2,1,1
33.48380545741505,female,2,1,0
34.39608709948022,male,2,0,1
19.28472872960448,male,1,1,1
57.986617667171345,female,2,1,0
37.10749381367681,female,2,0,0
12.130447541960272,female,1,1,0
39.84830412950745,male,2,0,1
15.379774946590178,male,1,1,1
41.806269056136784,female,1,1,0
47.378933685111065,female,3,0,0
17.689765224724344,male,3,1,1
44.45064193866483,male,3,0,1
36.191713904047475,female,3,1,0
42.33090239991735,female,2,1,0
58.451894739809205,male,3,0,1
26.319178259956942,female,1,1,0
18.693957534637654,male,2,1,1
16.65728355561715,male,3,0,1
17.762845725518424,male,1,1,1
28.843474358788438,male,2,0,1
35.117279622249654,female,2,1,0
34.150361989950284,female,3,0,0
42.40774873554036,male,2,0,1
30.195028378168605,male,1,0,1
51.80301115735975,male,2,1,1
26.03014750143066,male,1,1,1
70.80253749884429,male,2,0,1
39.385010216475095,female,3,0,0
17.142636653755762,female,1,1,0
13.936612529083316,female,2,1,0
37.23708622864778,female,2,1,0
26.648058220112237,male,2,1,1
40.71000741138138,male,1,0,1
37.09856436860317,male,1,1,1
28.90756631014691,male,1,1,1
17.298094228973923,male,3,1,1
7.277291629712032,female,3,0,0
23.302275718994686,male,1,1,1
42.84598191485209,female,2,0,0
33.21140616195306,female,3,1,0
11.31391831932018,female,1,0,0
32.59771388776773,female,2,1,0
35.77976069593255,male,3,1,1
16.742138456983007,female,2,0,0
32.305876589182915,female,2,1,0
30.873130776689997,female,2,1,0
12.855445532540653,male,2,1,1
35.36681040522425,male,3,1,1
38.41176789552352,male,3,0,1
46.245768647629156,female,3,0,0
45.80703078052355,female,1,1,0
9.334959480643633,male,3,0,1
15.932624401273157,female,2,0,0
37.7255290081299,male,3,1,1
37.706789263683135,male,2,0,1
37.72571529459072,female,1,1,0
87.79097235982081,female,2,0,0
38.56335766039751,female,2,0,0
47.03348460270898,female,2,1,0
44.310026452398034,male,1,1,1
39.77086876958697,male,3,1,1
25.270961330394815,male,3,0,1
41.38453830739901,male,1,1,1
18.407621781936424,male,2,1,1
26.447720898899867,female,3,0,0
22.719546782563448,male,1,0,1
31.228112090794838,male,3,1,1
64.71987850010262,male,1,1,1
1.9910221111237796,female,2,1,0
40.2939028556177,female,3,0,0
5.8092619321552235,female,1,0,0
22.9210220131585,female,3,1,0
46.33425895451049,male,3,0,1
30.964200286431943,male,3,0,1
13.83382833106041,female,3,1,0
19.270444361100477,female,1,0,0
40.19396623402014,male,2,1,1
19.04450052424295,male,1,1,1
33.246878843729625,female,1,1,0
30.683577598557207,female,1,1,0
20.225994785912743,female,2,1,0
62.15916133987989,female,3,0,0
39.50878533477017,male,3,0,1
-0.37713879986410603,male,3,1,1
32.796814721541416,male,2,1,1
20.073203028474182,female,3,1,0
42.78650002194336,female,2,1,0
18.112188923509493,male,3,1,1
28.278953377996515,male,3,1,1
37.57480918470686,male,1,1,1
42.98632791255182,male,2,1,1
11.995553894163358,female,1,0,0
24.982481462385774,male,1,1,1
22.875820332585658,male,1,1,1
20.200061511394324,male,2,1,1
56.481813604216455,male,2,1,1
36.07472566441433,male,3,0,1
11.086740684974323,male,1,1,1
43.767929205821645,male,3,0,1
61.8323429551895,female,1,1,0
45.486978908267204,female,2,1,0
7.209450510689798,female,2,0,0
22.73648890700623,female,2,1,0
49.00366723779934,male,1,0,1
19.38495801571829,female,2,1,0
36.657291422193424,female,1,1,0
41.61951080144005,male,3,1,1
16.096042926328757,male,1,0,1
29.107119659073,female,3,1,0
-18.61901010103609,female,1,1,0
14.634185379985652,male,3,1,1
26.211477729102597,female,2,1,0
11.283252270527257,male,3,1,1
54.486169558974524,male,2,1,1
8.547879330590511,male,2,1,1
23.399332699545244,male,3,1,1
31.96110865929137,female,1,1,0
51.619099335991734,male,1,1,1
8.462067732308409,male,1,0,1
47.447456282324396,female,1,0,0
30.153495915293806,male,1,0,1
15.277370234280736,female,2,0,0
36.93155211394906,female,1,1,0
32.98589543360205,female,2,0,0
20.99674684261808,male,2,0,1
31.047031274850283,female,2,1,0
24.220296047073596,female,3,0,0
31.70276017876872,male,3,1,1
39.9319601178157,female,2,1,0
53.79025224218028,female,3,1,0
11.432767517597263,female,1,1,0
61.995500619843995,female,1,0,0
0.7186830071624719,female,2,1,0
27.72322357446625,male,1,1,1
38.82475809726865,female,2,0,0
34.21487801602549,female,2,1,0
20.659507202691096,male,1,0,1
26.878166244640873,male,3,0,1
22.604985980117508,male,1,0,1
21.15952864583683,female,1,1,0
42.744031455315366,male,2,1,1
35.35523228947571,female,2,1,0
19.606356071090186,female,2,0,0
43.493998131498756,male,2,1,1
34.60949281314914,male,3,1,1
42.1929317825844,female,3,1,0
39.44443262885419,male,3,1,1
17.565074836168918,female,2,1,0
21.597284397045456,male,2,0,1
